uid,namedLocation,domainID,siteID,plotID,subplotID,startDate,endDate,flightYear,totalSampledArea,qualifyingVegetationArea,qualifyingVegetationPercent,dataQF,publicationDate,release
78e7e1cb-0e78-43c9-b843-2e596796d381,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,31_400,2019-04-19,2019-04-20,2019,400,99,24.75,,20240104T224934Z,RELEASE-2024
5592c323-76bf-4205-83ef-24db077b653b,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,31_400,2019-04-19,2019-04-20,2019,400,395,98.75,,20240104T224934Z,RELEASE-2024
08cd6dc0-ec38-40e3-93b5-03ce3b42824c,CLBJ_022.basePlot.ltr,D11,CLBJ,CLBJ_022,31_400,2019-04-19,2019-04-20,2019,400,196,49,,20240104T224934Z,RELEASE-2024
21900048-96ed-4fe9-a5b4-7bde5bca0379,CLBJ_018.basePlot.ltr,D11,CLBJ,CLBJ_018,31_400,2019-04-19,2019-04-20,2019,400,180,45,,20240104T224934Z,RELEASE-2024
1518e22a-461f-4736-aec8-4cfaff79b211,CLBJ_003.basePlot.ltr,D11,CLBJ,CLBJ_003,31_400,2019-04-19,2019-04-20,2019,400,327,81.75,,20240104T224934Z,RELEASE-2024
40a9d5e7-752d-413c-9d7d-ee70b09e3b5b,CLBJ_019.basePlot.ltr,D11,CLBJ,CLBJ_019,31_400,2019-04-19,2019-04-20,2019,400,25,6.25,,20240104T224934Z,RELEASE-2024
a82393ff-442d-4590-ab9e-7582de6002e5,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,31_400,2019-04-19,2019-04-20,2019,400,42,10.5,,20240104T224934Z,RELEASE-2024
b9a568b8-b524-436e-9385-3faa8ea28ed3,CLBJ_005.basePlot.ltr,D11,CLBJ,CLBJ_005,31_400,2019-04-19,2019-04-20,2019,400,391,97.75,,20240104T224934Z,RELEASE-2024
5246f08e-279b-4b36-8726-701cb171b8f5,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,31_400,2019-04-19,2019-04-20,2019,400,400,100,,20240104T224934Z,RELEASE-2024
a6dad9f0-5c3a-4eab-9d15-5ab53a600c30,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,31_400,2019-04-19,2019-04-20,2019,400,92,23,,20240104T224934Z,RELEASE-2024
fd2f4a3e-10db-43ce-ae8b-c6a0e7fbe0b1,CLBJ_009.basePlot.ltr,D11,CLBJ,CLBJ_009,31_400,2019-04-19,2019-04-20,2019,400,257,64.25,,20240104T224934Z,RELEASE-2024
a532452c-f4fe-4f5d-ab3a-87d5b697b935,CLBJ_026.basePlot.ltr,D11,CLBJ,CLBJ_026,31_400,2019-04-19,2019-04-20,2019,400,263,65.75,,20240104T224934Z,RELEASE-2024
548b0c21-f931-4b90-a793-38d31036e4b2,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,31_400,2019-04-19,2019-04-20,2019,400,105,26.25,,20240104T224934Z,RELEASE-2024
f1ba30a3-3a81-46b5-9689-7c10f084c144,CLBJ_016.basePlot.ltr,D11,CLBJ,CLBJ_016,31_400,2019-04-19,2019-04-20,2019,400,322,80.5,,20240104T224934Z,RELEASE-2024
